iter	Passed	Remaining
0	99	99132
1	126	63254
2	148	49228
3	168	41891
4	186	37089
5	211	35050
6	246	34901
7	277	34405
8	318	35099
9	350	34683
10	374	33675
11	399	32918
12	422	32089
13	448	31604
14	469	30828
15	489	30096
16	519	30026
17	551	30074
18	575	29715
19	606	29726
20	638	29761
21	659	29305
22	685	29122
23	716	29119
24	748	29184
25	774	29011
26	806	29054
27	833	28944
28	954	31949
29	1019	32949
30	1081	33803
31	1175	35572
32	1236	36231
33	1282	36428
34	1305	35985
35	1322	35416
36	1344	35001
37	1365	34577
38	1385	34137
39	1407	33785
40	1429	33440
41	1450	33089
42	1477	32874
43	1502	32638
44	1525	32376
45	1548	32108
46	1572	31894
47	1598	31698
48	1623	31508
49	1647	31301
50	1674	31150
51	1708	31150
52	1731	30935
53	1750	30672
54	1771	30433
55	1790	30179
56	1809	29930
57	1828	29693
58	1847	29463
59	1868	29272
60	1890	29103
61	1909	28894
62	1928	28687
63	1947	28476
64	1967	28304
65	1987	28129
66	2006	27944
67	2025	27761
68	2044	27585
69	2062	27407
70	2081	27238
71	2105	27132
72	2123	26967
73	2140	26790
74	2158	26623
75	2177	26472
76	2196	26326
77	2211	26139
78	2230	26009
79	2248	25852
80	2265	25708
81	2284	25574
82	2304	25462
83	2323	25338
84	2340	25191
85	2357	25058
86	2375	24926
87	2392	24793
88	2412	24698
89	2430	24578
90	2448	24456
91	2466	24340
92	2485	24245
93	2506	24154
94	2530	24107
95	2548	24002
96	2568	23909
97	2587	23812
98	2611	23771
99	2634	23710
100	2660	23683
101	2682	23613
102	2704	23548
103	2729	23511
104	2749	23438
105	2769	23361
106	2793	23311
107	2813	23238
108	2834	23172
109	2852	23082
110	2872	23006
111	2889	22908
112	2907	22825
113	2932	22791
114	2951	22713
115	2981	22719
116	2999	22640
117	3018	22559
118	3037	22488
119	3055	22409
120	3073	22326
121	3092	22253
122	3111	22187
123	3129	22106
124	3148	22038
125	3167	21968
126	3183	21881
127	3200	21805
128	3217	21725
129	3238	21670
130	3257	21607
131	3276	21546
132	3295	21479
133	3312	21406
134	3332	21352
135	3352	21300
136	3371	21239
137	3389	21172
138	3410	21125
139	3428	21059
140	3447	21002
141	3469	20963
142	3487	20902
143	3506	20841
144	3524	20781
145	3542	20723
146	3565	20691
147	3583	20631
148	3603	20578
149	3621	20521
150	3638	20458
151	3657	20407
152	3675	20349
153	3692	20283
154	3710	20226
155	3725	20156
156	3743	20101
157	3764	20063
158	3783	20010
159	3802	19961
160	3819	19906
161	3837	19849
162	3871	19879
163	3898	19871
164	3922	19852
165	3947	19834
166	3968	19796
167	3987	19749
168	4009	19713
169	4026	19660
170	4044	19609
171	4063	19559
172	4083	19518
173	4101	19470
174	4119	19422
175	4173	19540
176	4216	19605
177	4240	19581
178	4263	19552
179	4282	19508
180	4304	19476
181	4326	19443
182	4347	19408
183	4371	19385
184	4392	19348
185	4408	19292
186	4426	19244
187	4446	19203
188	4467	19170
189	4484	19119
190	4501	19068
191	4520	19021
192	4538	18977
193	4558	18939
194	4577	18895
195	4595	18852
196	4615	18812
197	4643	18808
198	4667	18786
199	4693	18772
200	4717	18750
201	4744	18742
202	4773	18740
203	4800	18729
204	4825	18715
205	4846	18680
206	4864	18637
207	4883	18595
208	4905	18564
209	4928	18542
210	4953	18524
211	4977	18501
212	4998	18468
213	5022	18448
214	5044	18417
215	5069	18399
216	5090	18368
217	5110	18330
218	5129	18292
219	5147	18251
220	5166	18212
221	5188	18182
222	5210	18155
223	5230	18120
224	5249	18080
225	5267	18040
226	5286	18001
227	5305	17964
228	5323	17921
229	5341	17881
230	5359	17843
231	5379	17806
232	5399	17774
233	5418	17736
234	5437	17701
235	5498	17801
236	5537	17826
237	5556	17791
238	5580	17767
239	5598	17727
240	5617	17692
241	5636	17654
242	5654	17616
243	5673	17579
244	5691	17539
245	5709	17500
246	5728	17463
247	5745	17420
248	5765	17390
249	5784	17352
250	5802	17314
251	5820	17277
252	5837	17236
253	5898	17323
254	5949	17381
255	5981	17383
256	6048	17485
257	6103	17553
258	6149	17594
259	6170	17561
260	6194	17538
261	6211	17496
262	6233	17467
263	6251	17427
264	6272	17396
265	6288	17351
266	6305	17311
267	6323	17272
268	6345	17242
269	6364	17206
270	6382	17168
271	6400	17129
272	6420	17097
273	6441	17067
274	6461	17035
275	6480	16998
276	6498	16961
277	6516	16924
278	6535	16888
279	6556	16858
280	6573	16820
281	6592	16786
282	6611	16749
283	6628	16711
284	6646	16675
285	6669	16650
286	6688	16616
287	6707	16582
288	6729	16555
289	6747	16519
290	6765	16484
291	6785	16452
292	6804	16417
293	6823	16384
294	6840	16347
295	6856	16308
296	6874	16271
297	6889	16229
298	6907	16194
299	6927	16164
300	6946	16130
301	6965	16098
302	6982	16062
303	7002	16030
304	7020	15997
305	7042	15972
306	7063	15944
307	7086	15921
308	7111	15904
309	7135	15882
310	7159	15862
311	7181	15835
312	7202	15809
313	7223	15781
314	7245	15756
315	7263	15722
316	7282	15690
317	7300	15656
318	7316	15619
319	7337	15591
320	7357	15563
321	7376	15530
322	7393	15495
323	7410	15461
324	7427	15426
325	7448	15398
326	7471	15376
327	7489	15343
328	7506	15309
329	7525	15278
330	7543	15245
331	7561	15214
332	7580	15183
333	7595	15145
334	7612	15111
335	7627	15074
336	7645	15040
337	7665	15012
338	7684	14983
339	7703	14953
340	7719	14918
341	7735	14883
342	7755	14855
343	7773	14823
344	7791	14791
345	7807	14758
346	7827	14730
347	7851	14710
348	7878	14696
349	7900	14671
350	7921	14646
351	7946	14628
352	7967	14603
353	7993	14586
354	8065	14654
355	8091	14637
356	8113	14613
357	8141	14599
358	8169	14586
359	8191	14562
360	8213	14538
361	8240	14523
362	8265	14504
363	8286	14478
364	8306	14451
365	8325	14421
366	8345	14393
367	8365	14367
368	8384	14337
369	8402	14307
370	8420	14276
371	8439	14246
372	8458	14218
373	8480	14194
374	8499	14165
375	8559	14204
376	8582	14183
377	8611	14169
378	8639	14155
379	8661	14131
380	8680	14103
381	8699	14073
382	8718	14044
383	8736	14014
384	8754	13985
385	8772	13954
386	8789	13922
387	8808	13893
388	8826	13863
389	8845	13834
390	8863	13805
391	8881	13775
392	8898	13744
393	8915	13713
394	8932	13681
395	8953	13657
396	8971	13627
397	8991	13600
398	9009	13570
399	9031	13546
400	9052	13522
401	9072	13495
402	9090	13466
403	9108	13437
404	9125	13407
405	9142	13376
406	9167	13357
407	9190	13334
408	9211	13311
409	9232	13286
410	9249	13254
411	9272	13234
412	9298	13216
413	9324	13198
414	9348	13177
415	9373	13158
416	9399	13140
417	9426	13124
418	9447	13100
419	9466	13073
420	9487	13048
421	9506	13020
422	9525	12993
423	9542	12963
424	9562	12937
425	9585	12916
426	9604	12888
427	9631	12871
428	9649	12843
429	9668	12815
430	9688	12790
431	9711	12769
432	9733	12746
433	9756	12723
434	9780	12703
435	9804	12682
436	9829	12663
437	9854	12644
438	9877	12622
439	9899	12598
440	9918	12572
441	9937	12545
442	9954	12516
443	9975	12491
444	9993	12463
445	10013	12438
446	10031	12410
447	10049	12381
448	10067	12354
449	10084	12326
450	10103	12298
451	10121	12271
452	10137	12241
453	10156	12214
454	10175	12187
455	10195	12162
456	10212	12134
457	10232	12108
458	10252	12084
459	10271	12057
460	10290	12032
461	10309	12005
462	10328	11979
463	10347	11953
464	10364	11925
465	10381	11896
466	10402	11872
467	10420	11845
468	10441	11821
469	10459	11795
470	10477	11767
471	10494	11739
472	10512	11712
473	10530	11686
474	10550	11660
475	10568	11633
476	10586	11607
477	10604	11580
478	10622	11553
479	10681	11571
480	10726	11573
481	10747	11550
482	10765	11523
483	10783	11496
484	10802	11471
485	10823	11446
486	10840	11419
487	10857	11391
488	10875	11365
489	10893	11338
490	10911	11311
491	10930	11286
492	10948	11259
493	10965	11231
494	10982	11204
495	10999	11176
496	11018	11151
497	11037	11126
498	11053	11098
499	11073	11073
500	11092	11048
501	11109	11021
502	11128	10995
503	11145	10969
504	11164	10942
505	11180	10915
506	11198	10888
507	11218	10865
508	11237	10839
509	11256	10814
510	11274	10788
511	11291	10762
512	11310	10737
513	11329	10712
514	11349	10688
515	11366	10661
516	11380	10632
517	11485	10687
518	11575	10727
519	11615	10722
520	11647	10708
521	11670	10686
522	11693	10665
523	11716	10643
524	11737	10619
525	11758	10595
526	11779	10572
527	11797	10546
528	11819	10523
529	11838	10498
530	11856	10472
531	11878	10449
532	11898	10425
533	11918	10400
534	11937	10375
535	11963	10356
536	11995	10342
537	12019	10321
538	12045	10302
539	12068	10280
540	12091	10258
541	12111	10234
542	12129	10208
543	12149	10183
544	12167	10158
545	12189	10135
546	12208	10110
547	12229	10086
548	12248	10061
549	12267	10036
550	12289	10014
551	12312	9992
552	12339	9974
553	12359	9950
554	12380	9926
555	12411	9911
556	12431	9887
557	12454	9865
558	12473	9840
559	12493	9816
560	12511	9790
561	12529	9764
562	12549	9740
563	12569	9716
564	12590	9693
565	12612	9670
566	12637	9651
567	12660	9628
568	12688	9611
569	12713	9590
570	12740	9572
571	12760	9547
572	12780	9523
573	12801	9500
574	12822	9477
575	12842	9453
576	12860	9427
577	12879	9403
578	12900	9380
579	12919	9355
580	12938	9330
581	12956	9305
582	12973	9279
583	12991	9253
584	13009	9228
585	13029	9205
586	13084	9206
587	13104	9181
588	13122	9156
589	13148	9136
590	13166	9112
591	13185	9087
592	13204	9062
593	13223	9038
594	13241	9012
595	13261	8989
596	13279	8964
597	13299	8940
598	13318	8915
599	13336	8890
600	13355	8866
601	13373	8841
602	13390	8815
603	13409	8791
604	13429	8767
605	13446	8742
606	13464	8717
607	13481	8691
608	13500	8667
609	13519	8643
610	13537	8618
611	13559	8596
612	13579	8573
613	13598	8548
614	13620	8526
615	13641	8503
616	13662	8481
617	13681	8457
618	13708	8437
619	13729	8415
620	13754	8394
621	13775	8371
622	13794	8347
623	13813	8323
624	13834	8300
625	13856	8278
626	13880	8257
627	13906	8237
628	13926	8214
629	13953	8195
630	13993	8183
631	14041	8176
632	14062	8153
633	14081	8129
634	14101	8105
635	14120	8081
636	14146	8061
637	14167	8038
638	14190	8016
639	14214	7995
640	14241	7976
641	14264	7954
642	14288	7932
643	14317	7914
644	14341	7893
645	14370	7874
646	14399	7856
647	14429	7838
648	14459	7820
649	14490	7802
650	14517	7782
651	14547	7764
652	14583	7749
653	14604	7726
654	14625	7703
655	14650	7682
656	14670	7658
657	14687	7633
658	14707	7610
659	14727	7586
660	14746	7562
661	14763	7537
662	14780	7512
663	14797	7488
664	14818	7464
665	14842	7443
666	14866	7421
667	14890	7400
668	14909	7376
669	14927	7352
670	14945	7328
671	14966	7304
672	14990	7283
673	15008	7259
674	15026	7235
675	15045	7211
676	15063	7186
677	15081	7162
678	15099	7138
679	15116	7113
680	15132	7088
681	15154	7065
682	15172	7041
683	15190	7017
684	15209	6994
685	15230	6971
686	15252	6948
687	15270	6924
688	15289	6901
689	15306	6876
690	15323	6852
691	15341	6828
692	15359	6804
693	15377	6780
694	15395	6756
695	15412	6731
696	15428	6706
697	15448	6684
698	15467	6660
699	15485	6636
700	15503	6612
701	15521	6589
702	15539	6565
703	15557	6541
704	15575	6517
705	15591	6492
706	15608	6468
707	15624	6444
708	15647	6422
709	15667	6399
710	15684	6375
711	15701	6351
712	15720	6327
713	15740	6305
714	15764	6283
715	15786	6261
716	15813	6241
717	15834	6219
718	15860	6198
719	15886	6177
720	15911	6157
721	15934	6135
722	15959	6114
723	15981	6092
724	16003	6070
725	16037	6052
726	16061	6031
727	16080	6008
728	16101	5985
729	16124	5963
730	16147	5942
731	16174	5921
732	16197	5900
733	16224	5879
734	16252	5859
735	16284	5841
736	16378	5844
737	16448	5839
738	16511	5831
739	16580	5825
740	16643	5817
741	16665	5794
742	16685	5771
743	16738	5759
744	16765	5738
745	16793	5717
746	16813	5694
747	16835	5671
748	16853	5647
749	16873	5624
750	16897	5602
751	16917	5579
752	16936	5555
753	16955	5531
754	16972	5507
755	16991	5483
756	17009	5460
757	17028	5436
758	17047	5412
759	17066	5389
760	17086	5366
761	17109	5343
762	17129	5320
763	17147	5297
764	17166	5273
765	17185	5250
766	17207	5227
767	17226	5203
768	17246	5180
769	17266	5157
770	17327	5146
771	17358	5126
772	17385	5105
773	17406	5082
774	17435	5061
775	17458	5039
776	17485	5018
777	17519	4999
778	17542	4976
779	17566	4954
780	17585	4931
781	17604	4907
782	17621	4883
783	17639	4859
784	17659	4836
785	17678	4813
786	17697	4789
